W	PRON	NL	NN	NPN	BFNT	TFNT	NP
chaigg	J1g	6	0	5	933598	27753	3
vourve	v9v	6	0	1	669615	54200	3
quall	kw{l	5	4	4	368248	98354	4
twok	twQk	4	2	1	195666	23085	4
smurse	sm3s	6	0	1	448091	28390	4
dought	d9t	6	4	27	821109	168970	3
knylb	nIlb	5	0	0	39909	0	4
drarfe	dr#f	6	0	0	388766	6317	4
psilmn	sIlm	6	0	4	177315	2386	4
stewse	stjus	6	0	2	654869	14763	5
glolmb	glQlm	6	0	0	171786	1246	5
whark	w#k	5	3	19	1073296	65474	3
stolb	stQlb	5	1	0	1286925	25451	5
prorbe	pr9b	6	0	2	743997	5023	4
yalb	j{lb	4	0	0	139289	1	4
moaff	m5f	5	0	12	128967	2504	3
leat	lit	4	18	41	760959	64279	3
shruim	Srum	6	0	4	331873	5372	4
naif	n1f	4	2	11	185636	619	3
tryth	trIT	5	2	7	1962163	4803	4
quamf	kw{mf	5	1	0	76719	2709	5
stime	st2m	5	2	8	631546	94376	4
ghruc	grVk	5	0	5	217437	2932	4
nop	nQp	3	18	27	224312	20	3
noughl	n9l	6	1	31	783576	86005	3
meige	m1_	5	2	21	422091	5254	3
yosk	jQsk	4	2	1	240621	0	4
tenc	tENk	4	3	1	336342	11233	4
thirck	T3k	6	0	15	2439309	118266	3
gwowte	gw6t	6	0	0	364229	2106	4
thaise	T1s	6	1	10	3155700	239792	3
gnourc	n9k	6	0	24	718741	53970	3
dwec	dwEk	4	0	1	182246	123	4
skigue	skIg	6	0	8	147135	9104	4
zoinn	z4n	5	0	6	485726	11805	3
phoolt	fult	6	0	4	426625	26323	4
boof	buf	4	13	18	712742	11071	3
bew	bju	3	17	19	226110	0	3
gludge	glV_	6	2	5	99570	7577	4
blene	blin	5	1	8	538578	5829	4
kait	k1t	4	5	35	475419	4072	3
thitch	TIJ	6	2	13	2829856	137103	3
celmb	sElm	5	0	5	172744	1319	4
cholch	JQlJ	6	0	0	651873	23884	4
phuin	fun	5	0	22	498125	343	3
ghieb	g2b	5	0	10	506325	2429	3
ghrush	grVS	6	1	6	462283	10427	4
gwelth	gwElT	6	0	0	2164578	31669	5
guilse	gIls	6	0	5	423465	12803	4
derne	d3n	5	0	25	488008	9377	3
scryb	skrIb	5	1	4	46654	4195	5
trooge	tru_	6	0	5	463967	19763	4
rerth	r3T	5	1	11	2567861	10010	3
strirl	str3l	6	0	1	516268	43622	5
suil	sul	4	3	25	163893	5900	3
splarf	spl#f	6	0	0	406824	35422	5
meebb	mib	5	0	9	409310	2686	3
wurne	w3n	5	0	32	273169	21280	3
ghinch	gInJ	6	0	5	1160108	52589	4
glylb	glIlb	5	0	0	10287	0	5
chuif	Juf	5	0	13	300732	3251	3
knewth	njuT	6	0	3	2155521	39934	4
shormb	S9m	6	0	13	742166	52941	3
skraif	skr1f	6	0	2	264594	13786	5
pluge	plu_	5	3	2	165274	4125	4
psylb	sIlb	5	0	3	18571	0	4
stann	st{n	5	3	11	1033434	36855	4
woach	w5J	5	3	10	431731	18917	3
screck	skrEk	6	0	0	506848	11889	5
tworg	tw9g	5	0	1	519769	69252	4
birlt	b3lt	5	0	7	162869	10806	4
thrud	TrVd	5	1	3	1964792	34902	4
skeive	sk1v	6	0	6	399515	40148	4
thurk	T3k	5	0	15	2017625	8361	3
zoitt	z4t	5	0	1	392967	15	3
guek	gEk	4	0	14	37738	4481	3
crylth	krIlT	6	0	0	1940329	4251	5
whov	wQv	4	3	15	462978	54096	3
plin	plIn	4	2	3	587207	9363	4
carche	k#S	6	0	16	2297866	39785	3
scriz	skrIz	5	1	3	116345	6619	5
prolse	prQls	6	0	1	544333	16969	5
yeal	jil	4	13	20	405093	33317	3
lowl	l6l	4	8	12	247251	8278	3
ruch	rVJ	4	6	22	267923	39851	3
freep	frip	5	3	6	694313	51697	4
clisc	klIsk	5	0	1	501396	4365	5
ghweag	gwig	6	0	0	513212	4740	4
sneun	snun	5	0	6	238392	231	4
quaine	kw1n	6	1	7	756923	39142	4
threlm	TrElm	6	0	0	2404619	46632	5
glooch	gluJ	6	0	3	455762	29180	4
grout	gr6t	5	3	11	826024	115857	4
psiell	s2l	6	0	32	383351	40745	3
phleab	flib	6	0	5	358839	34225	4
gnomp	nQmp	5	1	3	356697	278	4
fisque	fIsk	6	1	6	443632	9280	4
jawph	_9f	5	0	5	25401	410	3
spigue	spIg	6	0	5	143634	7251	4
margue	m#g	6	2	13	381502	18062	3
kalc	k{lk	4	1	2	137523	6	4
zeev	ziv	4	1	7	190993	330	3
thwom	TwQm	5	0	0	2162964	194	4
jate	_1t	4	13	23	502159	22021	3
vight	v2t	5	10	28	267885	142881	3
knanc	n{Nk	5	0	11	797934	7977	4
farf	f#f	4	3	8	286254	10877	3
swilck	swIlk	6	0	2	374676	40860	5
chourt	J9t	6	0	23	946221	115387	3
frir	fr3	4	1	5	277534	7284	3
stouse	st6s	6	1	1	2034348	106616	4
hong	hQN	4	9	15	530174	23653	3
sckac	sk{k	5	0	7	181065	0	4
zeick	z1k	5	0	12	214915	11572	3
thuilt	Tult	6	0	0	2063732	12647	4
rheesh	riS	6	0	16	2263042	12715	3
gnirc	n3k	5	0	19	136774	65	3
thrabb	Tr{b	6	0	5	1996950	35061	4
zave	z1v	4	8	10	249255	94205	3
broarv	br9v	6	0	5	484843	19516	4
drozz	drQz	5	0	7	212801	4551	4
vorph	v9f	5	0	1	371618	520	3
ghrege	gri_	6	0	11	610293	13635	4
spalck	sp{lk	6	0	1	277887	6214	5
yomb	jQm	4	4	7	296716	1493	3
bleuve	bluv	6	0	3	312613	1490	4
trolmn	trQlm	6	0	0	313844	9600	5
slybe	sl2b	5	0	6	189068	102	4
knynte	nInt	6	0	8	198528	0	4
knith	nIT	5	1	12	2313889	121661	3
slief	sl2f	5	0	6	156783	9783	4
pylph	pIlf	5	0	1	15899	855	4
phlife	fl2f	6	0	3	224685	30750	4
kreuck	kruk	6	0	14	503012	5243	4
blewnt	blunt	6	0	1	332681	2381	5
tweit	tw1t	5	1	3	626831	3727	4
tewthe	tjuD	6	1	3	3787406	1313451	4
proash	pr5S	6	0	5	806644	19458	4
thoatt	T5t	6	0	12	2520088	32856	3
walte	w{lt	5	2	4	499274	14444	4
shreat	Srit	6	1	3	1208340	87518	4
glooce	glus	6	0	6	344929	29058	4
wulse	wVls	5	1	3	389746	5829	4
phuik	fuk	5	0	6	75157	3	3
cife	s2f	4	5	20	127042	16885	3
skrult	skrVlt	6	0	0	184980	3725	6
smarmb	sm#m	6	0	1	390095	25449	4
wralgn	r{ln	6	0	0	214217	1586	4
brugg	brVg	5	0	7	111921	3256	4
gwurbe	gw3b	6	0	0	255434	308	4
cornte	k9nt	6	0	14	628267	7441	4
yornte	j9nt	6	0	8	687604	7100	4
bliev	bl2v	5	0	2	152260	4641	4
rhylmn	rIlm	6	0	3	17758	104	4
zargn	z#n	5	0	8	258690	8147	3
prame	pr1m	5	3	10	364859	41223	4
stirg	st3g	5	2	4	432810	18708	4
stroph	strQf	6	0	4	533379	35376	5
stilck	stIlk	6	0	3	499821	35408	5
losc	lQsk	4	3	2	187073	15374	4
threk	TrEk	5	2	4	2332759	46500	4
soosh	suS	5	1	8	480759	7463	3
gnauck	n9k	6	0	24	137515	5503	3
blinn	blIn	5	2	3	575740	10453	4
gleaph	glif	6	0	4	377623	36259	4
knuib	nub	5	0	8	59732	4	3
sckerm	sk3m	6	0	8	478216	11925	4
kroote	krut	6	0	10	559165	25985	4
varlt	v#lt	5	1	5	287671	771	4
dolte	dQlt	5	1	5	324439	916	4
preite	pr1t	6	0	11	929251	26330	4
squym	skwIm	5	0	3	22611	3208	5
twarte	tw#t	6	0	2	660790	34297	4
skreub	skrub	6	0	5	424978	149	5
thoom	Tum	5	0	13	2383679	51137	3
dwulgn	dwVln	6	0	0	117889	125	5
glouce	gl6s	6	0	3	658792	7065	4
dreace	dris	6	0	5	810613	92555	4
gwague	gw{g	6	0	1	295101	6233	4
trulck	trVlk	6	0	1	269522	12873	5
glerve	gl3v	6	0	1	538813	7883	4
florte	fl9t	6	0	13	609969	24134	4
yorf	j9f	4	2	7	505072	2359	3
viltch	vIlJ	6	0	2	349623	16261	4
gleim	gl1m	5	1	8	294197	326	4
feap	fip	4	7	19	285859	5944	3
flauff	fl9f	6	0	5	150647	10238	4
gwamn	gw{m	5	0	2	311431	1348	4
spolm	spQlm	5	0	0	123117	6432	5
fraug	fr9g	5	1	3	225175	9464	4
krient	kr2nt	6	0	1	391295	46208	5
hurch	h3J	5	3	16	303414	14914	3
crinn	krIn	5	0	8	555148	16217	4
quourb	kw9b	6	0	1	521249	50152	4
glient	gl2nt	6	0	1	417889	35273	5
strylk	strIlk	6	0	0	338257	29060	6
droaph	dr5f	6	0	4	249588	11974	4
glilse	glIls	6	0	0	493762	7540	5
ploign	pl4n	6	0	4	230356	4418	4
theke	Tik	5	3	20	3785423	1311366	3
skrusp	skrVsp	6	0	0	215078	3894	6
naitch	n1J	6	1	9	693047	18791	3
scroz	skrQz	5	0	2	227634	8786	5
sperke	sp3k	6	0	15	476941	22134	4
stulgn	stVln	6	0	0	385450	2899	5
psaug	s9g	5	0	14	180882	5768	3
byth	bIT	4	3	16	1969984	498	3
purbe	p3b	5	2	14	275653	1699	3
squatt	skw{t	6	1	2	431330	6138	5
hersh	h3S	5	1	10	2208937	155853	3
dwush	dwVS	5	0	0	289236	5347	4
blelce	blEls	6	0	0	321815	1638	5
splamn	spl{m	6	0	2	220992	32054	5
crugue	krVg	6	0	7	124866	7957	4
smeff	smEf	5	0	2	274536	1778	4
gworn	gw9n	5	1	2	504326	48798	4
yeme	jim	4	0	9	332883	9621	3
skurve	sk3v	6	0	6	262856	4898	4
dreugn	drun	6	0	9	471057	5872	4
clule	klul	5	0	0	297554	5702	4
sysp	sIsp	4	0	3	51074	0	4
strack	str{k	6	1	6	537789	80285	5
huzz	hVz	4	2	30	15684	176	3
shroy	Sr4	5	0	2	388623	22353	3
plolm	plQlm	5	0	0	194242	1003	5
sarf	s#f	4	2	12	344047	456	3
glewp	glup	5	0	5	194378	1149	4
strote	str5t	6	3	8	728324	39164	5
thworl	Tw9l	6	0	2	2397088	57456	4
floobe	flub	6	0	3	445662	33913	4
grolf	grQlf	5	0	0	302641	23228	5
pulc	pVlk	4	2	6	134370	3127	4
talse	t{ls	5	3	4	475914	16345	4
thigue	TIg	6	0	14	2353115	124729	3
lulk	lVlk	4	6	5	141511	552	4
scrank	skr{Nk	6	1	0	849727	30288	6
stroff	strQf	6	0	4	1044370	43803	5
thuc	TVk	4	3	15	1952335	4099	3
squann	skw{n	6	0	0	739959	7289	5
sckizz	skIz	6	0	13	112279	38	4
psamp	s{mp	5	0	9	182408	15028	4
thumph	TVmf	6	1	4	1929251	8671	4
ghwurt	gw3t	6	0	0	234827	4536	4
deutt	dut	5	0	22	223800	264	3
roant	r5nt	5	2	7	992143	26194	4
gosp	gQsp	4	2	2	160386	24	4
kneenn	nin	6	0	27	605226	79079	3
jowth	_6T	5	0	4	2063035	4174	3
jeele	_il	5	0	22	401894	10416	3
noarve	n9v	6	0	11	619585	7432	3
ghroab	gr5b	6	0	13	355243	26749	4
crinte	krInt	6	1	4	713115	27703	5
phurpe	f3p	6	0	11	150628	4185	3
shoomb	Sum	6	0	16	650400	62832	3
ziegn	z2n	5	0	20	46840	150	3
homph	hQmf	5	1	0	358495	12595	4
stipe	st2p	5	3	12	377901	20514	4
smaun	sm9n	5	0	4	193620	11580	4
lante	l{nt	5	1	14	974093	32791	4
ghlyne	gl2n	6	0	4	282093	44	4
jaunch	_9nJ	6	3	4	312033	13454	4
skeish	sk1S	6	0	3	721957	15160	4
blorth	bl9T	6	0	0	2415965	34734	4
dagn	d{n	4	3	28	48739	0	3
gloott	glut	6	0	6	384394	34612	4
scod	skQd	4	4	10	146804	2958	4
yiph	jIf	4	0	5	17074	0	3
swaunt	sw9nt	6	0	0	407119	6637	5
screig	skr1g	6	0	2	562268	13060	5
brorke	br9k	6	0	9	737794	33169	4
kryche	krIS	6	0	6	1954809	16729	4
toosh	tuS	5	1	8	1344322	33459	3
yunc	jVNk	4	0	10	98558	3403	4
preimn	pr1m	6	0	10	563319	5604	4
slilmn	slIlm	6	0	0	227657	5068	5
merve	m3v	5	4	10	618624	7911	3
phelb	fElb	5	0	3	1834279	15376	4
splyne	spl2n	6	0	2	236641	1055	5
spisc	spIsk	5	0	0	416658	2281	5
gliege	gli_	6	0	3	210643	4067	4
scuz	skVz	4	3	12	28574	99	4
kneng	nEN	5	0	5	499058	12670	3
taith	t1T	5	2	9	2431715	126598	3
choole	Jul	6	1	13	736909	48666	3
ghrom	grQm	5	0	8	480866	91495	4
wroush	r6S	6	0	8	912573	73422	3
kroalt	kr5lt	6	0	1	363250	13669	5
sckroy	skr4	6	0	2	283709	256	4
berle	b3l	5	1	34	570266	670	3
flug	flVg	4	6	8	81020	1337	4
sarte	s#t	5	1	27	480862	24136	3
psuve	sjuv	5	0	0	199230	83	4
gwonck	gwQNk	6	0	0	477880	11163	5
strufe	struf	6	2	6	400772	34978	5
phlobb	flQb	6	0	6	113619	690	4
scray	skr1	5	5	4	203715	9525	4
voughl	v9l	6	0	23	592319	85869	3
penge	pEn_	5	2	3	407387	21316	4
cewp	sjup	4	0	7	136012	0	4
smarne	sm#n	6	0	1	555472	30274	4
noine	n4n	5	1	12	851586	29129	3
smeaff	smif	6	0	0	481642	19173	4
scurb	sk3b	5	1	5	107497	2205	4
prarmb	pr#m	6	0	4	356330	13388	4
plolph	plQlf	6	0	0	204517	1858	5
skrylb	skrIlb	6	0	0	34288	0	6
shilk	SIlk	5	1	2	646894	27305	4
rarbe	r#b	5	0	7	483605	1235	3
fazz	f{z	4	4	24	43874	116	3
salp	s{lp	4	2	1	246225	3064	4
horte	h9t	5	2	40	694980	21373	3
jeeg	_ig	4	2	7	191589	216	3
florgn	fl9n	6	0	6	487359	11019	4
shurge	S3_	6	0	9	327598	17631	3
knaun	n9n	5	0	37	123422	1695	3
kaibe	k1b	5	0	13	283431	911	3
graib	gr1b	5	2	13	217785	21009	4
dreuph	druf	6	0	3	473269	5872	4
sprong	sprQN	6	4	4	569555	42370	5
frare	fr8	5	2	8	795896	92256	3
gnilve	nIlv	6	0	0	292193	3025	4
glarmn	gl#m	6	0	4	375189	21940	4
pharbe	f#b	6	0	8	978561	13736	3
mysc	mIsk	4	0	12	87167	0	4
gheuck	guk	6	0	5	1971299	7185	3
pawph	p9f	5	0	16	66080	262	3
yod	jQd	3	13	18	185623	0	3
ghawlt	g9lt	6	0	13	701550	1389	4
breac	brik	5	3	18	730270	67640	4
kneuf	nuf	5	0	10	212258	9729	3
poarse	p9s	6	2	33	608637	41741	3
stuln	stVln	5	0	0	381767	2774	5
phalp	f{lp	5	0	0	704821	13884	4
scys	skIs	4	1	9	42156	34	4
wholve	wQlv	6	0	1	661591	69114	4
stuiv	stuv	5	0	8	318767	2744	4
twieb	tw2b	5	0	3	247089	2681	4
skaint	sk1nt	6	0	3	660994	31624	5
swiese	swis	6	0	5	649474	28113	4
sckray	skr1	6	0	4	251933	2459	4
velb	vElb	4	2	1	233951	13	4
smarm	sm#m	5	2	1	385469	25449	4
swielt	sw2lt	6	0	1	325073	15135	5
pludge	plV_	6	3	8	126652	9178	4
leab	lib	4	7	23	354374	34188	3
thoutt	T6t	6	0	9	2683326	131972	3
flerch	fl3J	6	0	2	599610	10364	4
quotch	kwQJ	6	0	6	360130	12789	4
turp	t3p	4	5	15	95410	10784	3
kalte	k{lt	5	0	9	246611	4850	4
splume	splum	6	0	1	307799	4334	5
ghliem	gl2m	6	0	8	296758	3230	4
rerk	r3k	4	4	24	657939	902	3
shirm	S3m	5	3	11	645275	10463	3
goagg	g5g	5	0	9	98567	2295	3
heelt	hilt	5	1	7	2031689	23676	4
scrysc	skrIsk	6	0	0	88775	4208	6
grafe	gr1f	5	8	13	172203	9336	4
dilse	dIls	5	0	2	419353	6998	4
stersh	st3S	6	0	4	801815	16447	4
thooph	Tuf	6	0	8	2268173	41790	3
shalm	S{lm	5	3	1	850206	26298	4
roule	r6l	5	4	19	864346	143820	3
raunt	r9nt	5	6	9	209590	5843	4
stolv	stQlv	5	1	0	1289632	26255	5
spoush	sp6S	6	1	2	773871	36349	4
fralf	fr{lf	5	0	0	305084	10219	5
flalck	fl{lk	6	0	1	320378	5018	5
slaug	sl9g	5	1	3	175601	10474	4
bowlt	b6lt	5	1	3	214167	3536	4
dilf	dIlf	4	1	0	150934	7	4
bleell	blil	6	0	5	630871	51612	4
wiegue	w2g	6	0	15	252116	4680	3
spuice	spus	6	2	8	238482	15582	4
snesh	snES	5	0	0	504087	10961	4
gnamp	n{mp	5	0	8	79201	10826	4
thownt	T6nt	6	0	4	2366209	107845	4
skisck	skIsk	6	0	0	487336	5882	5
trente	trEnt	6	0	3	822980	45757	5
threul	Trul	6	0	3	2436127	46593	4
froogg	frug	6	0	3	436620	91002	4
sckaum	sk9m	6	0	9	108817	0	4
vesck	vEsk	5	0	2	415720	13662	4
pleame	plim	6	1	9	668067	81353	4
gnal	n{l	4	3	17	150066	114	3
skargn	sk#n	6	0	9	283799	8212	4
steane	stin	6	0	11	1445934	38132	4
plean	plin	5	5	11	1101541	53363	4
lewnte	lunt	6	0	7	403161	982	4
boulte	b6lt	6	0	3	693199	102288	4
clarfe	kl#f	6	0	4	434128	14974	4
snylck	snIlk	6	0	0	72968	0	5
flurbe	fl3b	6	0	2	285021	1941	4
phraul	fr9l	6	0	9	231832	2718	4
snulc	snVlk	5	0	1	118967	181	5
smowt	sm6t	5	0	8	254676	4205	4
yerth	j3T	5	1	9	2228507	10536	3
drenk	drENk	5	3	3	657968	11689	5
gawnch	g9nJ	6	0	4	321630	11108	4
spauff	sp9f	6	0	5	108156	7600	4
triem	tr2m	5	2	12	229087	25719	4
jergue	_3g	6	0	8	277119	5143	3
shrose	Sr5s	6	1	2	699779	61598	4
dwumf	dwVmf	5	0	0	7995	22	5
shrelb	SrElb	6	0	0	663288	15802	5
sneape	snip	6	0	9	455281	9670	4
colmn	kQlm	5	0	1	150878	3403	4
trinte	trInt	6	0	4	755080	35801	5
droite	dr4t	6	0	2	694744	25276	4
yarnte	j#nt	6	0	1	428909	8250	4
gurfe	g3f	5	0	10	147089	259	3
krurse	kr3s	6	0	5	421732	28248	4
shoobb	Sub	6	0	5	511845	50640	3
trorf	tr9f	5	0	2	608701	5613	4
trooph	truf	6	1	6	425144	21376	4
ghleaf	glif	6	0	4	466842	34724	4
plurke	pl3k	6	0	2	286565	6707	4
dweett	dwit	6	0	3	421686	24989	4
yoabb	j5b	5	0	4	167806	488	3
tryle	tr2l	5	0	11	206891	6157	4
sprute	sprut	6	2	5	333089	8229	5
shruit	Srut	6	0	4	608416	16360	4
thwone	Tw5n	6	1	2	2440007	79305	4
darmb	d#m	5	0	21	302879	14414	3
craun	kr9n	5	0	9	158512	5672	4
wherge	w3_	6	0	20	2310200	227507	3
quibb	kwIb	5	0	9	37066	10068	4
sluich	sluJ	6	1	6	324284	60459	4
pourve	p9v	6	0	15	693343	59955	3
phewlt	fjult	6	0	0	1826429	624	5
mylv	mIlv	4	0	5	49805	0	4
puldge	pVl_	6	0	3	366207	106013	4
stroun	str6n	6	0	2	990602	111930	5
domph	dQmf	5	1	0	315087	566	4
spuimb	spum	6	0	6	166306	2223	4
kiebb	k2b	5	0	8	61068	232	3
kelth	kElT	5	0	4	2121557	11501	4
tarfe	t#f	5	0	11	364027	8308	3
quoant	kw5nt	6	0	1	820252	19478	5
slorph	sl9f	6	0	3	473862	6815	4
frerle	fr3l	6	0	2	883318	8500	4
porgue	p9g	6	1	16	427548	8461	3
sprub	sprVb	5	2	2	85219	5389	5
sprebb	sprEb	6	0	1	443620	9417	5
meethe	miD	6	2	11	4115887	1331323	3
welge	wEl_	5	1	9	319435	20274	4
spoarb	sp9b	6	0	3	323249	8386	4
braime	br1m	6	0	15	515628	61155	4
splunk	splVNk	6	0	0	171396	7635	6
psulv	sVlv	5	0	3	160474	61	4
slelge	slEl_	6	1	0	295127	3855	5
plylp	plIlp	5	0	0	46635	29	5
gwuip	gwup	5	0	2	31452	31	4
yarth	j#T	5	1	7	2186169	35538	3
laut	l9t	4	4	32	277473	3188	3
prase	pr1s	5	3	12	755812	20064	4
skooke	skuk	6	0	5	347043	56458	4
poock	puk	5	0	19	252872	16017	3
krarte	kr#t	6	0	1	444502	24976	4
dieff	d2f	5	0	17	96264	7153	3
yilp	jIlp	4	1	1	127370	0	4
rurl	r3l	4	4	15	127928	546	3
ghlagn	gl{n	6	0	7	226477	815	4
tisk	tIsk	4	4	6	440221	1947	4
rourc	r9k	5	0	26	705716	96348	3
yuss	jVs	4	4	9	175251	403	3
hilth	hIlT	5	3	5	2388437	28696	4
brergn	br3n	6	0	6	671973	7698	4
dilgn	dIln	5	0	1	147137	36	4
phrif	frIf	5	0	3	185400	3186	4
krerlt	kr3lt	6	0	0	667988	0	5
grourk	gr9k	6	0	1	769948	111125	4
flourg	fl9g	6	0	6	629064	58606	4
glight	gl2t	6	4	7	363239	151435	4
dwim	dwIm	4	1	1	274841	443	4
yeln	jEln	4	2	3	131162	329	4
goonte	gunt	6	0	3	618235	33815	4
mawthe	m9D	6	0	10	3763580	1313300	3
glarn	gl#n	5	1	3	372182	17721	4
twett	twEt	5	1	3	264835	2562	4
chell	JEl	5	2	17	2237988	68249	3
dreun	drun	5	0	9	479036	5872	4
swo	sw5	3	1	7	130302	625	3
snoace	sn5s	6	0	2	399353	28593	4
voonn	vun	5	0	13	405817	7586	3
rhuib	rub	5	0	17	35591	4	3
thoan	T5n	5	1	18	2826059	29286	3
gnaise	n1s	6	0	22	721282	10820	3
yainge	j1n_	6	0	0	714609	62016	4
skesh	skES	5	0	2	484209	18641	4
phym	fIm	4	0	25	15830	337	3
dwoe	dw5	4	0	0	142565	67	3
quesc	kwEsk	5	1	1	224957	5437	5
fleebb	flib	6	0	5	339437	6215	4
wraubb	r9b	6	0	8	96191	1473	3
swite	sw2t	5	5	11	649631	144048	4
chourb	J9b	6	0	4	900085	110999	3
niemb	n2m	5	0	18	112293	79	3
moagg	m5g	5	0	15	123498	1090	3
rerl	r3l	4	1	15	649211	0	3
gic	gIk	3	4	20	102229	0	3
ghleun	glun	6	0	5	309098	24	4
rosque	rQsk	6	1	3	292872	10102	4
criff	krIf	5	1	4	181871	4774	4
sconte	skQnt	6	1	6	519128	12692	5
sturce	st3s	6	1	3	445762	23931	4
surlt	s3lt	5	0	4	146612	5698	4
straiv	str1v	6	2	7	515036	53574	5
thwurc	Tw3k	6	0	2	1985710	4139	4
prult	prVlt	5	0	0	180223	3964	5
knin	nIn	4	1	30	510803	2389	3
wud	wVd	3	7	23	6943	0	3
skozz	skQz	5	0	10	25835	0	4
shrisk	SrIsk	6	2	3	644860	11286	5
droult	dr6lt	6	0	0	770502	146337	5
nup	nVp	3	8	15	54019	0	3
bruv	brVv	4	0	2	57524	864	4
nig	nIg	3	16	19	86986	8214	3
hoch	hQJ	4	2	13	405780	1651	3
grou	gr6	4	3	5	661027	61159	3
dreagn	drin	6	0	7	650255	47925	4
smort	sm9t	5	4	7	509681	57852	4
gharp	g#p	5	1	9	908535	14080	3
theebe	Tib	6	0	2	4004338	1316772	3
harce	h#s	5	1	16	896599	22792	3
sleith	sl1T	6	2	8	2469311	124210	4
waish	w1S	5	2	18	867882	12679	3
nutch	nVJ	5	4	15	375079	12998	3
grewse	grus	6	2	9	749855	27380	4
ghworv	gw9v	6	0	0	594885	44784	4
housh	h6S	5	2	6	912863	74298	3
wiek	w2k	4	3	28	230045	263	3
gwilb	gwIlb	5	0	0	299470	37936	5
heilte	h1lt	6	0	5	2035070	55428	4
dwouge	dw6_	6	0	0	667012	92549	4
skrarp	skr#p	6	0	3	333951	2150	5
twoage	tw5_	6	0	0	250860	32457	4
pilt	pIlt	4	12	16	149489	5964	4
borch	b9J	5	4	24	613428	14194	3
cosck	kQsk	5	0	5	243920	3925	4
virsh	v3S	5	0	4	333979	23149	3
jemp	_Emp	4	4	5	68421	111	4
flurr	fl3	5	0	15	110122	2436	3
ghazz	g{z	5	0	21	664950	367	3
snunt	snVnt	5	2	2	137832	4290	5
thweff	TwEf	6	0	0	2099537	76	4
lys	lIs	3	1	23	22687	0	3
psurb	s3b	5	0	14	123299	5297	3
glud	glVd	4	4	11	26657	202	4
vilte	vIlt	5	0	13	231836	4447	4
wraunt	r9nt	6	0	9	219688	6564	4
koth	kQT	4	3	14	2029504	15085	3
smown	sm6n	5	1	0	307896	54620	4
shurse	S3s	6	0	10	564796	33586	3
smur	sm3	4	4	4	132475	142	3
broaf	br5f	5	1	5	242187	16242	4
prece	pris	5	2	6	506220	7766	4
queake	kwik	6	0	10	422766	47530	4
vanck	v{Nk	5	0	11	821307	8931	4
joaf	_5f	4	1	4	42959	109	3
sline	sl2n	5	10	9	736942	28800	4
scooph	skuf	6	1	9	282696	6605	4
ghlorp	gl9p	6	0	0	566422	4370	4
molmb	mQlm	5	0	1	153930	122	4
slauth	sl9T	6	1	3	2183195	17014	4
fighlt	f2lt	6	0	4	257246	64855	4
wroaff	r5f	6	0	26	241482	14937	3
brylth	brIlT	6	0	0	1951069	3339	5
praime	pr1m	6	1	10	506231	59418	4
swoabb	sw5b	6	0	1	153106	1115	4
swurc	sw3k	5	0	4	100136	4509	4
ghriph	grIf	6	0	9	236473	5695	4
oarlt	9lt	5	0	1	303974	3542	3
jorsh	_9S	5	0	5	599951	6014	3
joonte	_unt	6	0	4	576054	17299	4
grirn	gr3n	5	0	7	249972	2246	4
pringe	prIn_	6	3	2	700702	62964	5
gose	g5s	4	9	12	379822	35078	3
pame	p1m	4	15	24	325125	37147	3
choag	J5g	5	0	5	429341	12395	3
wrolve	rQlv	6	0	1	416083	13336	4
kreenn	krin	6	0	15	787358	87969	4
knylf	nIlf	5	0	1	47226	0	4
skrogg	skrQg	6	0	1	219580	397	5
gharsh	g#S	6	0	9	1129033	37095	3
boack	b5k	5	1	29	224201	39531	3
craiff	kr1f	6	0	7	277390	18739	4
pusc	pVsk	4	2	7	174019	1892	4
pluch	plVJ	5	3	8	287384	40790	4
snulb	snVlb	5	0	0	118891	361	5
shylch	SIlJ	6	0	2	365231	573	4
clalph	kl{lf	6	0	0	283980	9538	5
skrece	skris	6	0	4	510977	2640	5
doarte	d9t	6	0	27	555557	26878	3
kosk	kQsk	4	0	5	95619	0	4
yudd	jVd	4	1	10	9471	2	3
skoine	sk4n	6	0	5	679480	28088	4
claunt	kl9nt	6	1	1	279270	16344	5
snoph	snQf	5	0	6	232321	1360	4
fenk	fENk	4	4	2	298700	504	4
ghid	gId	4	2	23	558450	862	3
twerc	tw3k	5	1	4	449206	62853	4
chyng	JIN	5	0	16	287248	0	3
foin	f4n	4	5	17	661532	11074	3
stoog	stug	5	3	5	1374563	47679	4
gnauge	n9_	6	0	12	144785	7571	3
treebe	trib	6	0	5	812532	45573	4
meache	miS	6	0	14	2480194	68352	3
shrylf	SrIlf	6	0	2	209155	2388	5
knylm	nIlm	5	0	1	43335	0	4
streut	strut	6	1	8	871291	39707	5
hourg	h9g	5	0	16	714075	99783	3
flonck	flQNk	6	0	3	468615	29485	5
gwaine	gw1n	6	0	4	990437	39033	4
thwilm	TwIlm	6	0	0	2196423	39756	5
vogg	vQg	4	0	12	12722	209	3
treake	trik	6	0	14	844004	101409	4
stoobb	stub	6	0	6	1384427	47954	4
flyme	fl2m	5	1	7	242583	1060	4
crall	kr{l	5	1	9	431145	100236	4
drav	dr{v	4	6	6	181792	6610	4
fub	fVb	3	14	19	15474	0	3
flain	fl1n	5	4	10	681576	29408	4
blourt	bl9t	6	0	5	667672	62841	4
